理	li3	1235935.266	1121		2511211		王			
向	xiang4	1190300.307	32	5	251				口	
最	zui4	1184657.295	2511		122111	54	日		耳	又
神	shen2	1183985.708	4524		25112					
先	xian1	1176005.544	3121		35				儿	
高	gao1	1165028.894	41		251	25251			口	
外	wai4	1160619.549	354		24					
者	zhe3	1148692.569	1213		2511		十		日	
打	da3	1147181.691	121		12		手			
应	ying4	1145494.684	413		4431		广			
便	bian4	1144843.773	32		1251134		亻			
算	suan4	1135771.611	314314		25111	132	竹		目	
全	quan2	1132464.985	34		1121		人		王	
信	xin4	1124690.815	32		41	11251	亻			
才	cai2	1123528.366	123							
等	deng3	1107262.493	314314		121	124	竹		土	寸
日	ri4	1105558.638	2511				日			
相	xiang1	1091364.958	1234		25111		木		目	
再	zai4	1089161.052	125211							
听	ting1	1085095.541	251		3312		口			
主	zhu3	1075364.81	41		121				王	
被	bei4	1075318.098	45234		532	54				又
白	bai2	1070482.98	32511				白			
并	bing4	1067233.788	43		1132					
系	xi4	1061263.023	3554		234					
觉	jue2	1054307.469	44345		25	35				儿
却	que4	1052479.559	121	54	52		土			
口	kou3	1042264.091	251				口			
光	guang1	1034713.528	2431		35				儿	
西	xi1	1019255.55	125351				西			
别	bie2	1018366.483	251	53	22		口	力		
边	bian1	1000860.051	53		454		力		辶	
使	shi3	994344.053	32		125134		亻			
机	ji1	986600.5142	1234		35		木		几	
少	shao3	977084.9669	2343							
怎	zen3	975901.0754	31211		4544				心	
候	hou4	971490.1989	322		51	31134	亻			
呢	ne5	965291.9984	251		513	35	口		尸	匕
处	chu4	963441.115	354		24					
表	biao3	948248.0957	1121		3534					
住	zhu4	941961.0651	32		41	121	亻			土
体	ti3	941456.4179	32		12341		亻			
门	men2	939125.3922	425							
四	si4	930594.6345	251		35		囗		儿	
关	guan1	924593.2387	43		1134					
由	you2	912708.3769	25121							
第	di4	907252.2145	314314		51523		竹			
次	ci4	899402.2327	41		35	34	冫			人
让	rang4	893619.0834	45		211		讠			
名	ming2	889512.9862	354		251				口	
月	yue4	883216.0004	3511				月			
果	guo3	880911.7769	25111234							
比	bi3	880059.4669	15		35				匕	
象	xiang4	876910.5912	35		251353334					
做	zuo4	875254.2151	32		12251	3134	亻		十	攵
结	jie2	873094.7235	551		121	251	纟		士	口
性	xing4	869730.6643	442		31121					
感	gan3	856436.7725	135341	251	4544			口	心	
新	xin1	853660.8302	41431	1234	3312		立	木		
位	wei4	844343.6193	32		41431		亻		立	
色	se4	843082.3843	35		5215					
重	zhong4	842880.2191	312511211							
常	chang2	842305.8862	24345		251	252			口	
张	zhang1	841769.0764	515		3154					
风	feng1	840723.0248	35		34		几			
它	ta1	834067.6554	445		35		宀		匕	
接	jie1	826174.79	121		41431	531	手		立	女
更	geng4	822355.8592	1251134							
何	he2	819867.8492	32		12	251	亻			口
军	jun1	817667.0055	45		1512				车	
死	si3	811297.271	1354		35				匕	
东	dong1	797716.2127	15234							
战	zhan4	795970.2408	21	251	1534			口		
脸	lian3	794980.0909	3511		341	4431	月		人	
字	zi4	794267.9181	445		521		宀			
水	shui3	788062.8256	2534				水			
平	ping2	780934.2059	14312							
件	jian4	780877.5383	32		3112		亻			
许	xu3	776489.6351	45		31	12	讠			十
像	xiang4	773042.872	32		35	251353334	亻			
通	tong1	771322.9365	54	25112	454				辶	
书	shu1	770844.3258	5524							
部	bu4	768806.5927	41431	251	52		立	口		
计	ji4	768482.6689	45		12		讠		十	
王	wang2	768028.5631	1121				王			
放	fang4	762789.8814	4153		3134		方		攵	
吧	ba5	762760.7819	251		5215		口			
直	zhi2	756639.1591	12		251111		十			
连	lian2	756029.6005	1512		454		车		辶	
快	kuai4	755292.157	442		5134					
完	wan2	755191.8402	445		11	35	宀			儿
量	liang4	748624.5352	25111		2511211		日			
难	nan2	742450.8395	54		32	411121	又		亻	
统	tong3	741015.0073	551		4154	35	纟			儿
叫	jiao4	739127.3666	251		52		口			
变	bian4	737245.0863	412234		54				又	
似	si4	735015.9089	32		54	34	亻			人
工	gong1	731099.7244	121				工			
空	kong1	730087.367	44534		121		穴			
